#,Exercise Name,Video URL
1,Incline Barbell Press,https://youtu.be/lJ2o89kcnxY
2,Incline Dumbbell Press,https://youtu.be/5CECBjd7HLQ
3,Flat Barbell Press,https://youtu.be/gMgvBspQ9lk
4,Flat Dumbbell Press,https://youtu.be/YQ2s_Y7g5Qk
5,Cable Fly,https://youtu.be/4mfLHnFL0Uw
6,Pec Deck Machine,https://youtu.be/O-OBCfyh9Fw
7,Dips,https://youtu.be/4LA1kF7yCGo
8,Push Up,https://youtu.be/mm6_WcoCVTA
9,Incline Cable Fly,https://youtu.be/4mfLHnFL0Uw
10,Low-to-High Cable Fly,https://youtu.be/e_8HLu59-to
11,Decline Press,https://youtu.be/gMgvBspQ9lk
12,DB Pullover,
13,Lat Pulldown,
14,Cable Row,
15,Barbell Row,
16,Dumbbell Row,
17,Chest-Supported Row,
18,T-Bar Row,
19,Pull-Up,
20,Chin-Up,
21,Straight-Arm Pulldown,
22,Seated Cable Row Wide Grip,
23,Single-Arm Cable Row,
24,Deadlift,https://youtu.be/AweC3UaM14o
25,Romanian Deadlift,https://youtu.be/CN_7cz3P-1U
26,Rack Pull,
27,Dumbbell Lateral Raise,https://youtu.be/OuG1smZTsQQ
28,Cable Lateral Raise,https://youtu.be/2OMbdPF7mz4
29,Machine Lateral Raise,https://youtu.be/0o07iGKUarI
30,Overhead Press Barbell,https://youtu.be/G2qpTG1Eh40
31,Overhead Press Dumbbell,https://youtu.be/Raemd3qWgJc
32,Arnold Press,https://youtu.be/HzIiNhHhhtA
33,Rear Delt Fly Machine,https://youtu.be/5YK4bgzXDp0
34,Cable Face Pull,https://youtu.be/-MODnZdnmAQ
35,Reverse Pec Deck,https://youtu.be/5YK4bgzXDp0
36,Upright Row,https://youtu.be/um3VVzqunPU
37,Front Raise,https://youtu.be/hRJ6tR5-if0
38,Incline Dumbbell Curl,https://youtu.be/aTYlqC_JacQ
39,Cable Curl,https://youtu.be/opFVuRi_3b8
40,EZ Bar Curl,https://youtu.be/EK747VC37yE
41,Barbell Curl,https://youtu.be/JnLFSFurrqQ
42,Hammer Curl,https://youtu.be/XOEL4MgekYE
43,Preacher Curl Machine,https://youtu.be/Ja6ZlIDONac
44,Spider Curl,https://youtu.be/ke2shAeQ0O8
45,Concentration Curl,https://youtu.be/aTYlqC_JacQ
46,Drag Curl,
47,Cross-Body Hammer Curl,
48,Cable Overhead Tricep Extension,https://youtu.be/1u18yJELsh0
49,Overhead DB Extension,https://youtu.be/IdZ7HXnatko
50,Cable Pushdown,https://youtu.be/6Fzep104f0s
51,EZ Bar Skull Crusher,https://youtu.be/l3rHYPtMUo8
52,Close-Grip Bench Press,https://youtu.be/FiQUzPtS90E
53,Dips Tricep Focus,https://youtu.be/4LA1kF7yCGo
54,Machine Tricep Extension,https://youtu.be/Bx8ga1BLHLE
55,Single-Arm Cable Pushdown,https://youtu.be/Cp_bShvMY4c
56,Leg Press,https://youtu.be/yZmx_Ac3880
57,Hack Squat Machine,https://youtu.be/rYgNArpwE7E
58,Bulgarian Split Squat,https://youtu.be/VfsPxffCAd0
59,Leg Extension,https://youtu.be/m0FOpMEgero
